# Reference solar spectrum, disc centre.
# Delbouille, Neven & Roland (1972), Jungfraujoch; served by BASS2000
# (bass2000.obspm.fr).  Intensity is linear, continuum = 10000.
wavelength_nm,intensity,label
410.8750,9659,
410.9750,3364,
411.0750,9013,
411.1750,2716,
411.2750,7842,
411.3750,9604,
411.4750,9168,
411.5750,9692,
411.6750,8193,
411.7750,8670,
411.8750,1725,
411.9750,8895,
412.0750,9167,
412.1750,6724,
412.2750,8747,
412.3750,1558,
412.4750,7830,
412.5750,8939,
412.6750,9773,
412.7750,4901,
412.8750,4355,
412.9750,6595,
413.0750,9175,
413.1750,5891,
413.2750,7220,
413.3750,7702,
413.4750,6465,
413.5750,7301,
413.6750,9293,
413.7750,8914,
413.8750,8746,
413.9750,9504,
414.0750,8030,
414.1750,8828,
414.2750,8817,
414.3750,2988,
414.4750,8377,
414.5750,4523,
414.6750,8918,
414.7750,7685,
414.8750,8244,
414.9750,4025,
415.0750,8812,
415.1750,6113,
415.2750,7186,
415.3750,8380,
415.4750,4600,
415.5750,9405,
415.6750,4053,
415.7750,2450,
415.8750,4323,
415.9750,9634,
416.0750,8065,
416.1750,8772,
416.2750,9486,
416.3750,9003,
416.4750,8070,
416.5750,9359,
416.6750,8618,
416.7750,6924,
416.8750,9550,
416.9750,3805,
417.0750,9477,
417.1750,7048,
417.2750,1020,
417.3750,9459,
417.4750,9039,
417.5750,8682,
417.6750,9427,
417.7750,8087,
417.8750,9487,
417.9750,9669,
418.0750,6637,
418.1750,771,
418.2750,2957,
418.3750,7898,
418.4750,9482,
418.5750,8219,
418.6750,8484,
418.7750,2141,
418.8750,1617,
418.9750,9423,
419.0750,6100,
419.1750,6897,
419.2750,9712,
419.3750,8413,
419.4750,5214,
419.5750,9628,
419.6750,8073,
419.7750,8736,
419.8750,8089,
419.9750,9233,
420.0750,4701,
420.1750,4664,
420.2750,2803,
420.3750,9291,
420.4750,3105,
420.5750,9666,
420.6750,5892,
420.7750,9546,
420.8750,9271,
420.9750,6573,
421.0750,9438,
421.1750,7787,
421.2750,8818,
421.3750,9232,
421.4750,9207,
421.5750,6543,
421.6750,9863,
421.7750,9374,
421.8750,3565,
421.9750,9355,
422.0750,9651,
422.1750,9619,
422.2750,8030,
422.3750,6964,
422.4750,8917,
422.5750,5657,
422.6750,246,
422.7750,4984,
422.8750,7732,
422.9750,2103,
423.0750,9750,
423.1750,8675,
423.2750,3637,
423.3750,6891,
423.4750,9591,
423.5750,4633,
423.6750,6665,
423.7750,8983,
423.8750,3754,
423.9750,1888,
424.0750,7425,
424.1750,9749,
424.2750,3156,
424.3750,8833,
424.4750,9320,
424.5750,9524,
424.6750,5892,
424.7750,6221,
424.8750,4128,
424.9750,8456,
425.0750,1232,
425.1750,8215,
425.2750,5466,
425.3750,5892,
425.4750,8766,
425.5750,8721,
425.6750,9118,
425.7750,9433,
425.8750,5629,
425.9750,6337,
426.0750,3193,
426.1750,4016,
426.2750,8052,
426.3750,9585,
426.4750,3383,
426.5750,9586,
426.6750,6127,
426.7750,2747,
426.8750,2085,
426.9750,4255,
427.0750,7905,
427.1750,459,
427.2750,8874,
427.3750,5186,
427.4750,1746,
427.5750,6948,
427.6750,8288,
427.7750,9477,
427.8750,8849,
427.9750,3426,
428.0750,5787,
428.1750,9585,
428.2750,5644,
428.3750,9408,
428.4750,8102,
428.5750,7609,
428.6750,9709,
428.7750,9421,
428.8750,2772,
428.9750,578,
429.0750,9664,
429.1750,8885,
429.2750,9584,
429.3750,8655,
429.4750,4613,
429.5750,2150,
429.6750,4891,
429.7750,5582,
429.8750,4605,
429.9750,5652,
430.0750,3855,
430.1750,4425,
430.2750,2450,
430.3750,4576,
430.4750,6241,
430.5750,4453,
430.6750,3402,
